F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,Cls
1.0,1.0,1.0,0.37586483504907564,0.5,0.35714285714285715,1.0,0.3470434757500069,0.37586483504907564,1.0,0.6955916002991016,Spammer
0.8,0.9636363636363636,0.0,0.02531042531042531,0.5,0.08571428571428572,1.0,0.4775009640615653,0.02531042531042531,1.0,0.4877472464033065,NonSpammer
1.0,0.9575757575757576,0.0,0.02145491719959805,0.5,0.08571428571428572,1.0,0.5471080807226166,0.02145491719959805,1.0,0.5133307958411856,NonSpammer
1.0,0.9636363636363636,0.0,0.013598987125023256,0.5,0.08571428571428572,1.0,0.5209555052660765,0.013598987125023256,1.0,0.5097504128866773,NonSpammer
0.8,0.9777777777777779,0.0,0.02880830205308384,0.5,0.1,1.0,0.3710896932421586,0.02880830205308384,1.0,0.48064840751261045,NonSpammer
1.0,1.0,1.0,0.46634250539797767,0.5,0.3,1.0,0.35111670868813516,0.46634250539797767,1.0,0.7083801719484091,Spammer
1.0,0.9090909090909092,0.0,0.03311505150790865,0.5,0.1,1.0,0.8498528839483692,0.03311505150790865,1.0,0.5425173896055095,NonSpammer
1.0,1.0,1.0,0.5339073229239469,0.5,0.2857142857142857,1.0,0.3889414528476604,0.5339073229239469,1.0,0.724247038440984,Spammer
0.8,0.9454545454545455,0.0,0.025658117142995946,0.5,0.11428571428571428,1.0,0.6501043660955507,0.025658117142995946,1.0,0.5061160860121803,NonSpammer
1.0,1.0,0.0,0.03862950153711023,0.5,0.08571428571428572,1.0,0.4206140415145434,0.03862950153711023,1.0,0.508358733030305,NonSpammer
0.8,0.9454545454545455,0.0,0.019981171432664892,0.5,0.1,1.0,0.6330343499211818,0.019981171432664892,1.0,0.5018451238241057,NonSpammer
0.8,0.9733333333333333,0.0,0.015762027088906623,0.5,0.08571428571428572,1.0,0.5495655597807265,0.015762027088906623,1.0,0.49401372330061594,NonSpammer
1.0,0.9636363636363636,0.0,0.02012578065209644,0.5,0.08571428571428572,1.0,0.6172152886724326,0.02012578065209644,1.0,0.5206817499327274,NonSpammer
1.0,0.9636363636363636,0.0,0.024544441989974797,0.5,0.1,1.0,0.6703483186166643,0.024544441989974797,1.0,0.5283073566232978,NonSpammer
0.8,0.9636363636363636,0.0,0.022142778295432018,0.5,0.08571428571428572,1.0,0.532977379043871,0.022142778295432018,1.0,0.49266135849853854,NonSpammer
0.8,0.9575757575757576,0.0,0.031146757702005767,0.5,0.08571428571428572,1.0,0.544267185803572,0.031146757702005767,1.0,0.49498507444976275,NonSpammer
0.8,0.9311827956989248,0.0,0.020628328233046576,0.5,0.08571428571428572,1.0,0.7400754468520231,0.020628328233046576,1.0,0.5098229184731327,NonSpammer
0.8,0.9119999999999999,0.0,0.02950185791928167,0.5,0.11428571428571428,1.0,0.7695579154769749,0.02950185791928167,1.0,0.5154847345601252,NonSpammer
0.8,0.9733333333333333,0.0,0.024303274810187254,0.5,0.1,1.0,0.6970497894084314,0.024303274810187254,1.0,0.511898967236214,NonSpammer
1.0,0.9311827956989248,0.0,0.01834547923620164,0.5,0.08571428571428572,1.0,0.7259499940576329,0.01834547923620164,1.0,0.5279538033943247,NonSpammer
1.0,1.0,1.0,0.4040482192295939,0.5,0.45714285714285713,1.0,0.3680988458786397,0.4040482192295939,1.0,0.7133338141480685,Spammer
0.8,1.0,1.0,0.5267826709177899,0.5,0.2857142857142857,1.0,0.25544577771668237,0.5267826709177899,1.0,0.6894725405266546,Spammer
1.0,0.9374233128834355,0.0,0.014133569068739868,0.5,0.08571428571428572,1.0,0.7118277209642351,0.014133569068739868,1.0,0.5263232457699436,NonSpammer
1.0,0.9446808510638298,0.0,0.021847653445384564,0.5,0.1,1.0,0.5715634403739974,0.021847653445384564,1.0,0.5159939598328596,NonSpammer
1.0,0.9365853658536585,0.0,0.01528966502808715,0.5,0.08571428571428572,1.0,0.7913531179431305,0.01528966502808715,1.0,0.5344232099567249,NonSpammer
1.0,1.0,1.0,0.47151634346418675,0.5,0.38571428571428573,1.0,0.3268053266050933,0.47151634346418675,1.0,0.7155552299247753,Spammer
1.0,0.9733333333333333,0.0,0.022731002159594338,0.5,0.08571428571428572,1.0,0.5122167289116623,0.022731002159594338,1.0,0.511672635227847,NonSpammer
1.0,0.9241379310344827,0.0,0.025223229079853398,0.5,0.08571428571428572,1.0,0.5103007890826884,0.025223229079853398,1.0,0.5070599463991163,NonSpammer
1.0,0.9733333333333333,0.0,0.019469404769254847,0.5,0.08571428571428572,1.0,0.7314644684137134,0.019469404769254847,1.0,0.5329450896999842,NonSpammer
1.0,1.0,1.0,0.4572700562473022,0.5,0.42857142857142855,1.0,0.43100302089421766,0.4572700562473022,1.0,0.7274114561960251,Spammer
1.0,0.9733333333333333,0.0,0.024336289508703302,0.5,0.08571428571428572,1.0,0.500779258363764,0.024336289508703302,1.0,0.510849945642879,NonSpammer
1.0,1.0,1.0,0.4442440711870545,0.5,0.34285714285714286,1.0,0.3142525570727081,0.4442440711870545,1.0,0.704559784230396,Spammer
0.8,0.9160839160839161,0.0,0.018259762424170562,0.5,0.08571428571428572,1.0,0.7043219105287024,0.018259762424170562,1.0,0.5042639637175246,NonSpammer
1.0,0.9575757575757576,0.0,0.01710557719573585,0.5,0.08571428571428572,1.0,0.568822717554821,0.01710557719573585,1.0,0.5146323915236336,NonSpammer
0.8,0.9733333333333333,0.0,0.030755337920706845,0.5,0.12857142857142856,1.0,0.5525524200309658,0.030755337920706845,1.0,0.5015967857777142,NonSpammer
1.0,0.9545454545454545,0.0,0.026510220461600512,0.5,0.15714285714285714,1.0,0.6835911819625173,0.026510220461600512,1.0,0.534829993457403,NonSpammer
1.0,0.972972972972973,0.0,0.020714475013730936,0.5,0.1,1.0,0.8488543715492829,0.020714475013730936,1.0,0.5463256294549719,NonSpammer
1.0,0.9545454545454545,0.0,0.02326875268556604,0.5,0.08571428571428572,1.0,0.6612827864029195,0.02326875268556604,1.0,0.5248080032033792,NonSpammer
0.8,0.9621621621621621,0.0,0.018074512238920377,0.5,0.08571428571428572,1.0,0.5713009693842969,0.018074512238920377,1.0,0.49553264417385856,NonSpammer
1.0,0.9619047619047618,0.0,0.022126422140353815,0.5,0.12857142857142856,1.0,0.5347651243112664,0.022126422140353815,1.0,0.5169494159068165,NonSpammer
0.8,0.9575757575757576,0.0,0.018772171589269932,0.5,0.08571428571428572,1.0,0.5889945133717425,0.018772171589269932,1.0,0.4969828899840326,NonSpammer
1.0,0.93125,0.0,0.02498338075455011,0.5,0.11428571428571428,1.0,0.7701674639678859,0.02498338075455011,1.0,0.5365669939762701,NonSpammer
1.0,1.0,1.0,0.3750978535813308,0.5,0.3,1.0,0.4160363030515531,0.3750978535813308,1.0,0.6966232010214215,Spammer
1.0,0.9621621621621621,0.0,0.016553538288900035,0.5,0.08571428571428572,1.0,0.5762453515374867,0.016553538288900035,1.0,0.5157228875991734,NonSpammer
1.0,1.0,1.0,0.392753532315105,0.5,0.2857142857142857,1.0,0.39907548438610435,0.392753532315105,1.0,0.6970296834730599,Spammer
1.0,0.9733333333333333,0.0,0.01746490345566883,0.5,0.1,1.0,0.5866766046688785,0.01746490345566883,1.0,0.5194939744913549,NonSpammer
1.0,0.9621621621621621,1.0,0.024081016753430547,0.5,0.08571428571428572,1.0,0.4636399694104334,0.024081016753430547,1.0,0.6059678450793743,Spammer
1.0,0.9307692307692308,0.0,0.023553505018719716,0.5,0.1,1.0,0.8264966658897367,0.023553505018719716,1.0,0.5404372906696407,NonSpammer
1.0,1.0,1.0,0.3526919535076447,0.5,0.3,1.0,0.2960034884217415,0.3526919535076447,1.0,0.6801387395437031,Spammer
